time,latitude,longitude,CRW_BAA,CRW_BAA_mask,CRW_BAA_7D_MAX,CRW_BAA_7D_MAX_mask,CRW_DHW,CRW_DHW_mask,CRW_HOTSPOT,CRW_HOTSPOT_mask,CRW_SST,CRW_SSTANOMALY,CRW_SSTANOMALY_mask
2021-05-27T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.91,0,27.64,0.41,0
2021-05-27T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.89,0,27.65,0.41,0
2021-05-27T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.89,0,27.64,0.39,0
2021-05-27T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.83,0,27.73,0.46,0
2021-05-27T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.81,0,27.74,0.46,0
2021-05-27T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.82,0,27.72,0.44,0
2021-05-28T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.88,0,27.67,0.42,0
2021-05-28T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.86,0,27.68,0.42,0
2021-05-28T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.87,0,27.66,0.4,0
2021-05-28T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.77,0,27.79,0.5,0
2021-05-28T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.76,0,27.79,0.49,0
2021-05-28T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.79,0,27.75,0.45,0
2021-05-29T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.95,0,27.6,0.34,0
2021-05-29T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.92,0,27.62,0.35,0
2021-05-29T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.91,0,27.62,0.34,0
2021-05-29T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.86,0,27.7,0.4,0
2021-05-29T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.82,0,27.73,0.42,0
2021-05-29T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.85,0,27.69,0.38,0
2021-05-30T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.65,0,27.9,0.62,0
2021-05-30T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.64,0,27.9,0.61,0
2021-05-30T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.66,0,27.87,0.57,0
2021-05-30T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.55,0,28.01,0.69,0
2021-05-30T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.54,0,28.01,0.68,0
2021-05-30T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.58,0,27.96,0.63,0
2021-05-31T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.61,0,27.94,0.64,0
2021-05-31T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.59,0,27.95,0.64,0
2021-05-31T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.62,0,27.91,0.6,0
2021-05-31T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.5,0,28.06,0.72,0
2021-05-31T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.49,0,28.06,0.71,0
2021-05-31T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.55,0,27.99,0.64,0
2021-06-01T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.6,0,27.95,0.63,0
2021-06-01T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.59,0,27.95,0.62,0
2021-06-01T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.59,0,27.94,0.61,0
2021-06-01T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.52,0,28.04,0.68,0
2021-06-01T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.52,0,28.03,0.66,0
2021-06-01T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.55,0,27.99,0.62,0
2021-06-02T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.78,0,27.77,0.44,0
2021-06-02T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.76,0,27.78,0.44,0
2021-06-02T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.75,0,27.78,0.43,0
2021-06-02T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.73,0,27.83,0.46,0
2021-06-02T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.72,0,27.83,0.45,0
2021-06-02T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.73,0,27.81,0.43,0
2021-06-03T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.71,0,27.84,0.49,0
2021-06-03T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.69,0,27.85,0.49,0
2021-06-03T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.67,0,27.86,0.5,0
2021-06-03T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.68,0,27.88,0.49,0
2021-06-03T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.66,0,27.89,0.49,0
2021-06-03T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.65,0,27.89,0.49,0
2021-06-04T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.81,0,27.74,0.37,0
2021-06-04T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.79,0,27.75,0.37,0
2021-06-04T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.77,0,27.76,0.38,0
2021-06-04T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.75,0,27.81,0.4,0
2021-06-04T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.73,0,27.82,0.4,0
2021-06-04T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.72,0,27.82,0.4,0
2021-06-05T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.82,0,27.73,0.35,0
2021-06-05T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.79,0,27.75,0.36,0
2021-06-05T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.77,0,27.76,0.36,0
2021-06-05T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.76,0,27.8,0.38,0
2021-06-05T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.74,0,27.81,0.38,0
2021-06-05T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.74,0,27.8,0.37,0
2021-06-06T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.87,0,27.68,0.28,0
2021-06-06T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.83,0,27.71,0.3,0
2021-06-06T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.8,0,27.73,0.31,0
2021-06-06T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.82,0,27.74,0.3,0
2021-06-06T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.78,0,27.77,0.32,0
2021-06-06T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.77,0,27.77,0.32,0
2021-06-07T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.91,0,27.64,0.22,0
2021-06-07T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.88,0,27.66,0.23,0
2021-06-07T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.86,0,27.67,0.24,0
2021-06-07T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.88,0,27.68,0.22,0
2021-06-07T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.85,0,27.7,0.23,0
2021-06-07T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.84,0,27.7,0.23,0
2021-06-08T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-1,0,27.55,0.12,0
2021-06-08T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.97,0,27.57,0.13,0
2021-06-08T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.95,0,27.58,0.13,0
2021-06-08T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.98,0,27.58,0.11,0
2021-06-08T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.95,0,27.6,0.12,0
2021-06-08T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.94,0,27.6,0.12,0
2021-06-09T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.96,0,27.59,0.14,0
2021-06-09T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.95,0,27.59,0.13,0
2021-06-09T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.93,0,27.6,0.13,0
2021-06-09T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.95,0,27.61,0.12,0
2021-06-09T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.93,0,27.62,0.12,0
2021-06-09T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.92,0,27.62,0.12,0
2021-06-10T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-1.08,0,27.47,0,0
2021-06-10T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-1.06,0,27.48,0,0
2021-06-10T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-1.04,0,27.49,0.01,0
2021-06-10T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-1.05,0,27.51,0,0
2021-06-10T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-1.04,0,27.51,-0.01,0
2021-06-10T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-1.02,0,27.52,0,0
2021-06-11T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.95,0,27.6,0.12,0
2021-06-11T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.93,0,27.61,0.12,0
2021-06-11T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.91,0,27.62,0.12,0
2021-06-11T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.93,0,27.63,0.11,0
2021-06-11T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.91,0,27.64,0.11,0
2021-06-11T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.9,0,27.64,0.11,0
2021-06-12T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-1,0,27.55,0.05,0
2021-06-12T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.98,0,27.56,0.05,0
2021-06-12T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.96,0,27.57,0.05,0
2021-06-12T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.99,0,27.57,0.03,0
2021-06-12T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.98,0,27.57,0.02,0
2021-06-12T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.96,0,27.58,0.03,0
2021-06-13T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.87,0,27.68,0.16,0
2021-06-13T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.83,0,27.71,0.18,0
2021-06-13T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.79,0,27.74,0.2,0
2021-06-13T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.82,0,27.74,0.18,0
2021-06-13T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.77,0,27.78,0.21,0
2021-06-13T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.75,0,27.79,0.22,0
2021-06-14T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.88,0,27.67,0.14,0
2021-06-14T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.86,0,27.68,0.14,0
2021-06-14T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.85,0,27.68,0.13,0
2021-06-14T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.83,0,27.73,0.16,0
2021-06-14T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.8,0,27.75,0.17,0
2021-06-14T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.79,0,27.75,0.17,0
2021-06-15T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.7,0,27.85,0.3,0
2021-06-15T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.67,0,27.87,0.31,0
2021-06-15T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.63,0,27.9,0.33,0
2021-06-15T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.64,0,27.92,0.33,0
2021-06-15T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.6,0,27.95,0.35,0
2021-06-15T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.57,0,27.97,0.37,0
2021-06-16T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.68,0,27.87,0.31,0
2021-06-16T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.63,0,27.91,0.34,0
2021-06-16T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.58,0,27.95,0.37,0
2021-06-16T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.61,0,27.95,0.35,0
2021-06-16T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.58,0,27.97,0.36,0
2021-06-16T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.56,0,27.98,0.37,0
2021-06-17T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.69,0,27.86,0.29,0
2021-06-17T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.66,0,27.88,0.3,0
2021-06-17T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.64,0,27.89,0.3,0
2021-06-17T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.63,0,27.93,0.32,0
2021-06-17T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.6,0,27.95,0.33,0
2021-06-17T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.6,0,27.94,0.32,0
2021-06-18T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.63,0,27.92,0.34,0
2021-06-18T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.6,0,27.94,0.35,0
2021-06-18T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.6,0,27.93,0.33,0
2021-06-18T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.53,0,28.03,0.42,0
2021-06-18T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.51,0,28.04,0.42,0
2021-06-18T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.52,0,28.02,0.4,0
2021-06-19T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.66,0,27.89,0.31,0
2021-06-19T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.62,0,27.92,0.33,0
2021-06-19T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.62,0,27.91,0.31,0
2021-06-19T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.57,0,27.99,0.37,0
2021-06-19T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.54,0,28.01,0.38,0
2021-06-19T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.56,0,27.98,0.35,0
2021-06-20T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.56,0,27.99,0.4,0
2021-06-20T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.54,0,28,0.4,0
2021-06-20T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.55,0,27.98,0.37,0
2021-06-20T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.48,0,28.08,0.45,0
2021-06-20T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.46,0,28.09,0.45,0
2021-06-20T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.49,0,28.05,0.41,0
2021-06-21T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.63,0,27.92,0.32,0
2021-06-21T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.62,0,27.92,0.31,0
2021-06-21T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.64,0,27.89,0.27,0
2021-06-21T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.59,0,27.97,0.33,0
2021-06-21T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.57,0,27.98,0.33,0
2021-06-21T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.61,0,27.93,0.28,0
2021-06-22T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.55,0,28,0.39,0
2021-06-22T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.54,0,28,0.38,0
2021-06-22T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.54,0,27.99,0.36,0
2021-06-22T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.52,0,28.04,0.39,0
2021-06-22T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.51,0,28.04,0.38,0
2021-06-22T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.51,0,28.03,0.37,0
2021-06-23T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.52,0,28.03,0.41,0
2021-06-23T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.54,0,28,0.37,0
2021-06-23T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.57,0,27.96,0.32,0
2021-06-23T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.49,0,28.07,0.42,0
2021-06-23T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.51,0,28.04,0.38,0
2021-06-23T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.56,0,27.98,0.32,0
2021-06-24T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.56,0,27.99,0.36,0
2021-06-24T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.55,0,27.99,0.35,0
2021-06-24T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.56,0,27.97,0.32,0
2021-06-24T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.52,0,28.04,0.38,0
2021-06-24T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.5,0,28.05,0.38,0
2021-06-24T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.52,0,28.02,0.35,0
2021-06-25T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.45,0,28.1,0.46,0
2021-06-25T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.48,0,28.06,0.41,0
2021-06-25T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.51,0,28.02,0.36,0
2021-06-25T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.41,0,28.15,0.48,0
2021-06-25T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.43,0,28.12,0.44,0
2021-06-25T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.47,0,28.07,0.39,0
2021-06-26T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.48,0,28.07,0.42,0
2021-06-26T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.49,0,28.05,0.39,0
2021-06-26T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.5,0,28.03,0.36,0
2021-06-26T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.44,0,28.12,0.44,0
2021-06-26T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.44,0,28.11,0.42,0
2021-06-26T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.48,0,28.06,0.37,0
2021-06-27T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.26,0,28.29,0.64,0
2021-06-27T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.28,0,28.26,0.6,0
2021-06-27T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.3,0,28.23,0.56,0
2021-06-27T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.26,0,28.3,0.61,0
2021-06-27T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.28,0,28.27,0.57,0
2021-06-27T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.31,0,28.23,0.53,0
2021-06-28T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.34,0,28.21,0.55,0
2021-06-28T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.36,0,28.18,0.51,0
2021-06-28T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.39,0,28.14,0.46,0
2021-06-28T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.3,0,28.26,0.57,0
2021-06-28T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.31,0,28.24,0.54,0
2021-06-28T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.36,0,28.18,0.48,0
2021-06-29T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.33,0,28.22,0.55,0
2021-06-29T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.34,0,28.2,0.52,0
2021-06-29T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.37,0,28.16,0.47,0
2021-06-29T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.32,0,28.24,0.54,0
2021-06-29T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.33,0,28.22,0.51,0
2021-06-29T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.36,0,28.18,0.47,0
2021-06-30T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.31,0,28.24,0.56,0
2021-06-30T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.32,0,28.22,0.53,0
2021-06-30T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.35,0,28.18,0.48,0
2021-06-30T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.26,0,28.3,0.59,0
2021-06-30T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.27,0,28.28,0.56,0
2021-06-30T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.31,0,28.23,0.51,0
2021-07-01T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.39,0,28.16,0.47,0
2021-07-01T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.4,0,28.14,0.44,0
2021-07-01T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.41,0,28.12,0.41,0
2021-07-01T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.36,0,28.2,0.48,0
2021-07-01T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.37,0,28.18,0.45,0
2021-07-01T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.39,0,28.15,0.42,0
2021-07-02T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.45,0,28.1,0.4,0
2021-07-02T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.46,0,28.08,0.37,0
2021-07-02T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.48,0,28.05,0.33,0
2021-07-02T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.46,0,28.1,0.37,0
2021-07-02T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.47,0,28.08,0.34,0
2021-07-02T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.49,0,28.05,0.31,0
2021-07-03T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.47,0,28.08,0.37,0
2021-07-03T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.45,0,28.09,0.37,0
2021-07-03T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.43,0,28.1,0.37,0
2021-07-03T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.46,0,28.1,0.37,0
2021-07-03T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.45,0,28.1,0.36,0
2021-07-03T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.44,0,28.1,0.36,0
2021-07-04T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.35,0,28.2,0.49,0
2021-07-04T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.35,0,28.19,0.47,0
2021-07-04T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.36,0,28.17,0.44,0
2021-07-04T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.29,0,28.27,0.53,0
2021-07-04T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.29,0,28.26,0.51,0
2021-07-04T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.32,0,28.22,0.47,0
2021-07-05T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.19,0,28.36,0.64,0
2021-07-05T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.18,0,28.36,0.63,0
2021-07-05T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.19,0,28.34,0.6,0
2021-07-05T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.14,0,28.42,0.67,0
2021-07-05T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.14,0,28.41,0.65,0
2021-07-05T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.17,0,28.37,0.61,0
2021-07-06T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.2,0,28.35,0.62,0
2021-07-06T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.21,0,28.33,0.59,0
2021-07-06T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.22,0,28.31,0.56,0
2021-07-06T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.16,0,28.4,0.64,0
2021-07-06T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.17,0,28.38,0.61,0
2021-07-06T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.19,0,28.35,0.58,0
2021-07-07T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.42,0,28.13,0.39,0
2021-07-07T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.41,0,28.13,0.38,0
2021-07-07T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.41,0,28.12,0.36,0
2021-07-07T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.37,0,28.19,0.42,0
2021-07-07T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.36,0,28.19,0.41,0
2021-07-07T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.38,0,28.16,0.38,0
2021-07-08T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.36,0,28.19,0.44,0
2021-07-08T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.36,0,28.18,0.42,0
2021-07-08T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.36,0,28.17,0.4,0
2021-07-08T12:00:00Z,18.325,-65.625,0,0,0,0,0,0,-0.3,0,28.26,0.49,0
2021-07-08T12:00:00Z,18.325,-65.575,0,0,0,0,0,0,-0.3,0,28.25,0.47,0
2021-07-08T12:00:00Z,18.325,-65.525,0,0,0,0,0,0,-0.33,0,28.21,0.43,0
2021-07-09T12:00:00Z,18.375,-65.625,0,0,0,0,0,0,-0.28,0,28.27,0.51,0
2021-07-09T12:00:00Z,18.375,-65.575,0,0,0,0,0,0,-0.27,0,28.27,0.5,0
2021-07-09T12:00:00Z,18.375,-65.525,0,0,0,0,0,0,-0.28,0,28.25,0.47,0
